firstnum,secondnum,mean,stddev,median,user,system,min,max
61,10,0.004247204,0.000467742,0.00410356,0.001428911,0.000132403,0.00350847,0.006932291
62,10,0.004288896,0.000461611,0.004117405,0.001461034,0.000104491,0.003435924,0.006387345
63,10,0.004312218,0.00046545,0.004144902,0.001440188,0.000148019,0.003529269,0.007710514
64,10,0.004254748,0.000455136,0.004091502,0.001446252,0.000130926,0.003434562,0.00582842
65,10,0.004299184,0.000484486,0.004128245,0.001454851,0.000144811,0.003612865,0.009595741
66,10,0.004661549,0.000464377,0.004562467,0.001541945,0.000152518,0.003802068,0.008367752
67,10,0.00447922,0.000476438,0.004401189,0.001526013,0.000136513,0.003648702,0.007201043
68,10,0.004471058,0.00047581,0.004322609,0.001526904,0.000130207,0.003564775,0.007719541
69,10,0.004534477,0.000466395,0.004480959,0.001568772,0.000130008,0.003636238,0.00626259
70,10,0.004489109,0.000462736,0.004316742,0.001522391,0.000141534,0.003462444,0.006657862
71,10,0.004461613,0.000473397,0.004272951,0.001515507,0.000159201,0.003536232,0.006824783
72,10,0.004504243,0.000515044,0.004316532,0.001566987,0.000140262,0.003646848,0.007979929
73,10,0.004545861,0.000486631,0.004365583,0.001575094,0.000138259,0.003826323,0.006372644
74,10,0.004611215,0.000493075,0.004496076,0.001600267,0.000152921,0.003530341,0.006174459
75,10,0.004600768,0.000483827,0.004474537,0.001585474,0.000171808,0.003639594,0.006598425
76,10,0.004698645,0.000513247,0.004514231,0.001633388,0.000141821,0.003638863,0.006546342
77,10,0.004749979,0.000555595,0.004524364,0.001658173,0.000133722,0.003976562,0.008673486
78,10,0.004660133,0.000504724,0.00444146,0.001635626,0.000140831,0.003901923,0.006549259
79,10,0.004717674,0.00051342,0.004522606,0.001627716,0.000172938,0.0039753,0.007597953
80,10,0.004927638,0.000654033,0.004829318,0.001744869,0.000153832,0.003950173,0.010164853000000001
81,10,0.004752529,0.000513673,0.004559424,0.00168914,0.000144614,0.00396473,0.006879339
82,10,0.004798047,0.000554927,0.004591784,0.001685076,0.000173455,0.003987152,0.008800414
83,10,0.004840138,0.000529826,0.004639851,0.001750832,0.000121118,0.00403409,0.006377678
84,10,0.00481544,0.000566825,0.004612868,0.001756582,0.000130119,0.004035593,0.00824013
85,10,0.004923299,0.000549186,0.004687507,0.001733978,0.000171242,0.00382485,0.006855668
86,10,0.004955523,0.000533631,0.004825685,0.001764746,0.000167116,0.003972505,0.006643679
87,10,0.005036008,0.000549179,0.004886779,0.001808972,0.000154125,0.004225397,0.00701536
88,10,0.004999625,0.000554535,0.004773613,0.001795492,0.000158898,0.004235064,0.011268445
89,10,0.005167704,0.000652751,0.004970077,0.001857731,0.000171581,0.003998223,0.007743724
90,10,0.005014144,0.000554869,0.004802583,0.001809823,0.000171821,0.004212632,0.006931957
91,10,0.005038888,0.000580026,0.004824613,0.001840153,0.000151561,0.004117856,0.007529716
92,10,0.005161164,0.000551088,0.004921644,0.001862277,0.000153238,0.004312769,0.007018157
93,10,0.005168334,0.000554786,0.004949822,0.001846595,0.000196719,0.004225366,0.0070968
94,10,0.005210693,0.000553862,0.005012976,0.001890293,0.000166898,0.004376489,0.007445288
95,10,0.005238089,0.000573101,0.005112125,0.001891229,0.000199821,0.004074125,0.006980517
96,10,0.005278386,0.000610305,0.005161297,0.0019039,0.000220208,0.004376869,0.008536453
97,10,0.005231468,0.000528605,0.005106479,0.001910904,0.000196586,0.004407406,0.008158308
98,10,0.005217587,0.000573235,0.004976692,0.001900636,0.000207971,0.00438268,0.008509972
99,10,0.005273145,0.000560831,0.00508819,0.002001069,0.000136701,0.004220198,0.007133073
100,10,0.005447144,0.000606314,0.005251559,0.0020088,0.000191312,0.004551535,0.007826168
