stations,connections,lines,mean,stddev,median,user,system,min,max
8200,8200,200,0.11803103350000002,0.002075594423167615,0.11763955050000001,0.10976460000000002,0.0018774,0.11517387700000001,0.12131573000000001
8300,8300,200,0.12212017630000001,0.006049348506413966,0.12003118500000001,0.1137262,0.0018758999999999998,0.117553895,0.138338766
8400,8400,200,0.12108841590000001,0.003624915050112098,0.12043726600000002,0.11149599999999997,0.0030123,0.11647583400000001,0.1284433
8500,8500,200,0.13150310650000002,0.01766908596322749,0.122761693,0.1227698,0.0020725,0.11995929100000001,0.166778485
8600,8600,200,0.1280621862,0.009233568711890844,0.125207389,0.11853720000000001,0.0027941999999999997,0.119438361,0.14847711500000002
8700,8700,200,0.1258243145,0.004787480603100718,0.12413001650000001,0.11820649999999999,0.0010385,0.1198271,0.133815376
8800,8800,200,0.1277394125,0.006149712663925479,0.126047386,0.11838059999999999,0.0028166999999999997,0.12241676600000001,0.14395270400000001
8900,8900,200,0.12885508380000002,0.0023786607612847005,0.1283977495,0.12212769999999999,0.0,0.124805076,0.13209257700000002
9000,9000,200,0.1301464955,0.003503464654255186,0.1287510065,0.11930719999999999,0.0037875999999999995,0.12723061800000002,0.13882840500000002
9100,9100,200,0.1318750827,0.0028742194384669675,0.131027637,0.1192566,0.0058107,0.127669676,0.13819894100000002
9200,9200,200,0.13767701740000002,0.005156038915815345,0.13653365150000002,0.12858819999999999,0.0018619999999999997,0.13196965900000002,0.146623316
9300,9300,200,0.14012523870000002,0.013320299588659105,0.134260011,0.1330328,0.0,0.128067332,0.16830536000000001
9400,9400,200,0.1360584147,0.0033019919056534847,0.13601619450000002,0.1272545,0.0018768,0.131153506,0.1417836
9500,9500,200,0.1398723574,0.0027177160786341736,0.138959577,0.12903849999999997,0.0039008000000000003,0.136520507,0.14535875
9600,9600,200,0.1396337848,0.002202132168137246,0.13982125700000003,0.1288039,0.0038729,0.13675895100000002,0.142720279
9700,9700,200,0.14221519140000002,0.0031295031771379133,0.14209730050000002,0.1329641,0.0019486999999999998,0.136472131,0.146218586
9800,9800,200,0.1465537447,0.011962889316415494,0.14291697650000001,0.1378361,0.00098,0.13692542800000002,0.17627745
9900,9900,200,0.14480509749999998,0.0031692017777250115,0.144311351,0.1357517,0.0019456,0.14075818,0.150501561
10000,10000,200,0.14498124569999998,0.0034405102688844853,0.14673745100000002,0.1339865,0.003925099999999999,0.139158696,0.14810330400000002
