stations,connections,lines,mean,stddev,median,user,system,min,max
4700,4700,4700,1.0456933678999998,0.012324190308164465,1.0438406845000001,1.038779,0.0019871,1.0303935850000001,1.074872897
4800,4800,4800,1.1178864301,0.06111612620879947,1.0994225850000001,1.1117713,0.0009951,1.079954557,1.288651856
4900,4900,4900,1.224073741,0.00689958153551414,1.222025419,1.2177123,0.0009981999999999999,1.216793286,1.239546977
5000,5000,5000,1.2052282667999998,0.008046497346201841,1.2023830535,1.1979878999999998,0.0019928999999999997,1.191701573,1.218292703
5100,5100,5100,1.3038765243000001,0.03238612903761596,1.3038213105,1.2975222,0.0009975,1.255989016,1.347639174
5200,5200,5200,1.3212717154000002,0.01342132232727493,1.3223106370000002,1.3129791,0.0029814,1.300944741,1.339899356
5300,5300,5300,1.3834930213,0.01461787128479947,1.3853809385,1.3762063999999998,0.0019935,1.356456604,1.408942631
5400,5400,5400,1.4161464159000001,0.018339692974909942,1.4225504290000002,1.409011,0.0020031,1.389330368,1.436693155
5500,5500,5500,1.5166663503000002,0.04426724263852253,1.5055910925,1.5088980999999997,0.0019954,1.473284481,1.636554297
5600,5600,5600,1.5650052947,0.04362666746063215,1.5469324524999999,1.5583455,0.0009938,1.528211743,1.64576579
5700,5700,5700,1.6338735243000002,0.04446046281743063,1.6311179999999998,1.6260276,0.00199,1.573676934,1.717290997
5800,5800,5800,1.7182675704999997,0.04812441685761596,1.7123205335,1.7113584,0.0009945,1.643521233,1.780041113
5900,5900,5900,1.7228920120999998,0.024649870312077767,1.7259980245,1.7153623,0.0019933,1.689843387,1.7672061220000002
6000,6000,6000,1.7864055893000004,0.019283509597113606,1.7835075950000001,1.7807055999999999,0.0,1.760106943,1.822249137
6100,6100,6100,1.8670852947,0.026465013627022454,1.8713793385000002,1.8592047999999999,0.0019964999999999996,1.824996655,1.899986947
6200,6200,6200,2.0102997434,0.029221580995010547,2.0165564849999997,1.9993916999999997,0.004991000000000001,1.963937403,2.042737173
6300,6300,6300,2.5315730714999995,1.1432795813638668,2.079722919,2.5173004999999997,0.006988399999999999,1.916886538,5.685789468
6400,6400,6400,2.0735429535,0.05835981887631522,2.0603222705,2.0645407000000002,0.0029957,2.017641498,2.207704532
6500,6500,6500,2.1514625018,0.02211664023034495,2.14048179,2.1437599999999994,0.0019939,2.132002441,2.197525402
6600,6600,6600,2.1387410123,0.020646848504368907,2.1310362265,2.1299272,0.0029901,2.116398712,2.176913572
6700,6700,6700,2.2558990465999997,0.03044445733605422,2.2607843915,2.2469259,0.0029845999999999996,2.210147099,2.300371539
6800,6800,6800,2.4359823712999997,0.022402913003035894,2.431794904,2.4287301999999995,0.0009986,2.414867744,2.473055128
6900,6900,6900,2.4535586769999997,0.019448982618902388,2.4527005375,2.4424210000000004,0.0049954,2.413754989,2.478325962
7000,7000,7000,2.5483848427,0.012822374902102059,2.5493873955,2.5400848,0.0019939,2.528685555,2.5663810060000003
7100,7100,7100,2.5529994708,0.07812451106783862,2.544610426,2.5437757,0.0029898999999999998,2.476030882,2.7613239380000003
7200,7200,7200,2.5923311061,0.021368239174331175,2.5879617765000003,2.5851273999999997,0.0009953,2.565208362,2.62748605
7300,7300,7300,2.691837908,0.034018483391162375,2.6892614005,2.6825169,0.0029997999999999995,2.64239049,2.7518811100000002
7400,7400,7400,2.8390372769,0.03955139860856587,2.8304276385,2.8295020999999996,0.0029977000000000003,2.791704643,2.912025607
7500,7500,7500,2.8878018795000004,0.03045170134216324,2.8839744,2.8789413999999995,0.0019944999999999997,2.844311726,2.9644546270000003
7600,7600,7600,2.9480823314999998,0.027893850294809175,2.956074853,2.9385047999999996,0.0029961,2.9053978110000003,2.983838918
7700,7700,7700,2.9859047911000003,0.03639800295422392,2.9749869265,2.9775129,0.0009961,2.947349152,3.052830797
7800,7800,7800,3.1074327015999996,0.054256828416765275,3.097322256,3.0967857,0.003993200000000001,3.039132462,3.209640248
7900,7900,7900,3.2037107988000004,0.023440006907547165,3.2067322555,3.195101,0.0019969999999999996,3.154418121,3.231537695
8000,8000,8000,3.226533355,0.036437864515774965,3.2191789705,3.2192377,0.0009996999999999999,3.18228358,3.286042555
8100,8100,8100,3.3050767424,0.03889380419806122,3.301945641,3.2976701000000004,0.000996,3.257398133,3.372472765
8200,8200,8200,3.3975906408,0.03949188539827117,3.3954139845,3.3899971,0.0010000999999999999,3.344290513,3.452431825
8300,8300,8300,3.5544599617,0.06723556875640704,3.550330109,3.5454949,0.0019971999999999998,3.451145744,3.672303497
8400,8400,8400,3.6250036279999995,0.024157560324588243,3.6272268695,3.6137369,0.0029932999999999995,3.580130313,3.654420453
8500,8500,8500,3.70142361,0.029523034038332657,3.7039179645,3.6926316999999997,0.0019971,3.654109814,3.756935705
8600,8600,8600,3.8111771352000003,0.057459079308321975,3.8115321695000004,3.8003737,0.003998400000000001,3.744532663,3.899754903
8700,8700,8700,3.8386169727,0.03949986014691188,3.8268558165,3.8317927999999997,0.0,3.774018532,3.905794379
8800,8800,8800,4.007293840000001,0.05206569418976149,4.008503901,3.9981102999999996,0.0019985999999999997,3.944292875,4.076200225
8900,8900,8900,4.081955693100001,0.03410622186830152,4.0862815480000005,4.072923700000001,0.0019979,4.009368925,4.118723451
9000,9000,9000,4.3875901945,0.11392323181849202,4.360226236000001,4.3803611,0.0,4.305799795,4.700133413
9100,9100,9100,4.302369671399999,0.043708213768518404,4.308974872,4.2912174,0.0039937,4.22710081,4.365032122
9200,9200,9200,4.5337519631,0.37502275816158015,4.3883432915,4.5243966,0.0020001999999999997,4.312409679,5.561852549
9300,9300,9300,4.408289445900001,0.056872941335769076,4.4057404215,4.3954357,0.0049917,4.333036426,4.535975314
9400,9400,9400,4.5247205390000005,0.057204599850571816,4.533627301,4.5125025,0.0049924,4.45127981,4.59883793
9500,9500,9500,4.637352173200001,0.0503561993267298,4.64562928,4.6257112,0.0039984,4.558284803,4.734686927
9600,9600,9600,4.8055371275,0.060441719262158196,4.801025152499999,4.7960645,0.0020019,4.732217344,4.922113858
9700,9700,9700,4.817352839999999,0.0997676982728186,4.793223114,4.805883199999999,0.0039996,4.712645678,5.053345506
9800,9800,9800,5.027225468299999,0.05560255342143215,5.028965638500001,5.0184337,0.0009995,4.943331345,5.116732477
9900,9900,9900,5.0498318413,0.0514346422850783,5.033192244,5.0413416,0.0009995,4.998479188,5.165986652
10000,10000,10000,5.209110476299999,0.04334942461844632,5.21158652,5.2017758,0.0,5.148302952,5.263265672
